id;lyc;val
0 -7.258016e+000 1392323
1 -5.079215e+000 1392327
2 -4.121445e+000 1392328
3 -3.561803e+000 1392328
4 -3.204689e+000 1392328
5 -2.960354e+000 1392328
6 -2.787188e+000 1392328
7 -2.664245e+000 1392328
8 -2.578308e+000 1392328
9 -2.517484e+000 1392328
10 -2.472429e+000 1392328
11 -2.438225e+000 1392328
12 -2.411729e+000 1392328
13 -2.389007e+000 1392328
14 -2.366694e+000 1392328
15 -2.344223e+000 1392328
16 -2.323094e+000 1392328
17 -2.305056e+000 1392328
18 -2.291057e+000 1392328
19 -2.281006e+000 1392328
20 -2.274105e+000 1392328
21 -2.269241e+000 1392328
22 -2.265072e+000 1392328
23 -2.260492e+000 1392328
24 -2.254877e+000 1392328
25 -2.248183e+000 1392328
26 -2.240586e+000 1392328
27 -2.232419e+000 1392328
28 -2.223979e+000 1392328
29 -2.215100e+000 1392328
30 -2.205287e+000 1392328
31 -2.194566e+000 1392328
32 -2.183954e+000 1392328
33 -2.174902e+000 1392328
34 -2.168221e+000 1392328
35 -2.163693e+000 1392328
36 -2.160327e+000 1392328
37 -2.157464e+000 1392328
38 -2.155082e+000 1392328
39 -2.153386e+000 1392328
40 -2.151886e+000 1392328
41 -2.149887e+000 1392328
42 -2.146868e+000 1392328
43 -2.142983e+000 1392328
44 -2.138986e+000 1392328
45 -2.135800e+000 1392328
46 -2.133917e+000 1392328
47 -2.133379e+000 1392328
48 -2.133727e+000 1392328
49 -2.134752e+000 1392328
50 -2.136468e+000 1392328
